,Unnamed: 0,userid,number_of_logins,number_of_assignments,question_gradedright,question_complete,question_todo,question_gradedwrong,question_attempts,number_of_quizs,quiz_max_attempt,quiz_min_attempt,quiz_mean_attempt
15590,15590,16887,211,10,13,27,31,7,84,5,1,1,1
15591,15591,16888,179,6,16,20,20,4,60,3,1,1,1
15592,15592,16889,148,2,5,5,5,0,15,1,1,1,1
15594,15594,16891,430,12,48,60,58,8,176,2,1,1,1
15596,15596,16893,267,20.5,1,5,5,2,15,1,1,1,1
15598,15598,16895,134,4,16,20,20,4,60,3,1,1,1
15600,15600,16897,250,3,10,15,15,5,45,2,1,1,1
15603,15603,16900,233,12,33,46,51,7,148,6,2,1,1.142857143
15605,15605,16902,165,7,18,26,30,8,86,2,2,1,1.416666668
15607,15607,16904,75,5,17,20,20,3,60,1,1,1,1
15608,15608,16905,245,16,22,30,30,8,90,3,1,1,1
15609,15609,16906,309,8,22,35,33,11,101,2,1,1,1
15611,15611,16908,172,5,18,28,25,6,78,4,1,1,1
15617,15617,16917,311,8,24,36,35,9,106,3,2,1,1.25
15618,15618,16918,142,5,9,20,25,11,70,2,1,1,1
15622,15622,16922,430,7,15,20,23,5,66,2,1,1,1
15623,15623,16923,123,7,18,22,20,2,62,1,1,1,1
15631,15631,16931,177,1,36,40,40,4,120,1,1,1,1
15633,15633,16933,410,11,52,88,88,8,264,5,1,1,1
15637,15637,16937,212,4,25,29,29,4,87,2,1,1,1
15639,15639,16939,324,5,9,14,15,5,44,2,1,1,1
15640,15640,16940,402,5,0,7,7,0,21,4,1,1,1
15641,15641,16943,259,6,26,40,40,13,120,5,2,1,1.166666667
15643,15643,16945,135,1,26,30,30,4,90,1,1,1,1
15644,15644,16946,248,6,11,15,15,4,45,3,1,1,1
15647,15647,16949,308,5,32,51,60,11,156,6,2,1,1.333333333
15651,15651,16953,217,3,22,45,45,20,135,5,2,1,1.166666667
15659,15659,16964,201,3,50,50,50,0,150,1,1,1,1
15660,15660,16965,152,3,5,16,16,5,48,3,1,1,1
15662,15662,16968,234,12,40,40,40,0,120,1,1,1,1
15666,15666,16974,115,10,25,38,38,13,114,1,1,1,1
15669,15669,16977,262,15,3,3,3,0,9,1,1,1,1
15670,15670,16978,423,17,1,5,5,4,15,1,1,1,1
15671,15671,16979,261,3,28,40,40,9,120,3,1,1,1
15673,15673,16981,155,3,14,20,18,4,56,2,1,1,1
15676,15676,16984,405,13,57,79,73,11,225,7,1,1,1
15677,15677,16985,430,15,65,91,83,14,257,8,1,1,1
15678,15678,16986,279,7,23,37,37,10,113,2,1,1,1
15685,15685,16993,97,2,6,14,14,6,40,4,1,1,1
15686,15686,16994,283,20.5,21,30,30,9,90,2,1,1,1
15690,15690,16998,245,13,10,12,14,0,40,2,2,1,1.416666668
15692,15692,17000,430,12,2,4,4,2,12,1,2,1,1.416666668
15694,15694,17002,386,20.5,0,3,3,0,6,1,1,1,1
15697,15697,17005,430,15,13,30,30,17,90,1,1,1,1
15698,15698,17006,423,16,4,6,6,1,18,2,1,1,1
15699,15699,17007,78,1,17,32,30,13,92,3,1,1,1
15704,15704,17012,338,16,22,26,25,3,76,2,1,1,1
15706,15706,17014,423,15,43,65,63,13,194,4,2,1,1.2
15707,15707,17015,102,7,46,68,65,19,198,5,2,1,1.166666667
15714,15714,17022,180,15,57,65,65,6,195,6,1,1,1
15717,15717,17025,164,8,17,22,20,3,62,1,1,1,1
15721,15721,17029,171,4,20,34,24,1,81,3,2,1,1.25
15740,15740,17048,130,1,14,21,20,6,61,1,1,1,1
15742,15742,17050,115,5,15,30,20,5,70,1,1,1,1
15747,15747,17055,153,4,65,75,75,7,225,2,2,1,1.333333333
15755,15755,17063,167,15,7,7,7,0,21,2,1,1,1
15758,15758,17066,430,16,1,2,2,1,6,1,1,1,1
15759,15759,17067,355,11,9,13,11,2,35,2,2,1,1.333333333
15761,15761,17069,380,11,8,14,13,3,40,3,1,1,1
15771,15771,17079,156,4,7,12,12,5,36,1,2,1,1.416666668
15772,15772,17080,130,20,30,36,36,5,107,3,1,1,1
15773,15773,17081,177,13,25,56,51,23.5,157,4,1,1,1
15775,15775,17083,285,13,34,53,52,16,155,5,1,1,1
15776,15776,17084,287,20.5,34,47,46,8,137,7,1,1,1
15781,15781,17089,217,6,27,42,40,12,122,2,1,1,1
15782,15782,17090,83,3,1,2,2,1,6,1,1,1,1
15788,15788,17096,119,4,40,43,40,0,123,1,1,1,1
15789,15789,17097,98,3,4,5,5,1,15,1,1,1,1
15791,15791,17099,152,18,6,9,8,1,25,1,1,1,1
15797,15797,17105,39,3,2,6,6,3,18,2,1,1,1
15804,15804,17112,148,8,6,10,10,4,30,1,1,1,1
15808,15808,17116,52,5,30,43,40,10,123,1,1,1,1
15811,15811,17119,105,6,35,63,62,23.5,187,2,1,1,1
15813,15813,17121,117,6,18,28,27,8,82,2,1,1,1
15816,15816,17124,83,12,13,17,17,3,51,1,1,1,1
15817,15817,17125,161,20,4,9,8,0,25,1,1,1,1
15818,15818,17126,80,17,3,8,8,2,24,1,1,1,1
15819,15819,17127,91,19,14,20,18,3,56,3,1,1,1
15820,15820,17128,172,16,5,8,8,1,24,1,1,1,1
15821,15821,17129,196,16,12,18,18,3,54,3,1,1,1
15822,15822,17130,142,19,8,13,12,2,37,2,1,1,1
15823,15823,17131,55,11,3,5,8,0,22,1,1,1,1
15824,15824,17132,194,18,52,61,58,1,179,2,2,1,1.333333333
15825,15825,17133,127,5,28,36,36,7,107,3,1,1,1
15828,15828,17136,158,6,79,99,111,16,309,8,2,1,1.2
15830,15830,17138,240,8,29,51,50,21,151,2,1,1,1
15831,15831,17139,413,7,27,43,40,13,123,1,1,1,1
15832,15832,17140,83,2,10,18,17,6,52,1,1,1,1
15834,15834,17142,159,9,31,37,37,5,111,2,1,1,1
15835,15835,17143,66,2,25,37,37,11,111,2,1,1,1
15836,15836,17144,141,5,39,49,47,7,143,3,1,1,1
15839,15839,17147,148,1,18,43,57,17,137,2,2,1,1.333333333
15840,15840,17148,66,2,31,37,37,5,111,2,1,1,1
15841,15841,17149,371,5,20,20,20,0,60,1,1,1,1
15843,15843,17151,98,4,28,38,37,8,112,2,1,1,1
15845,15845,17153,102,5,15,23,20,5,63,1,1,1,1
15847,15847,17155,54,3,0,2,1,0,4,1,1,1,1
15849,15849,17157,141,2,2,5,4,0,13,1,1,1,1
15850,15850,17158,150,17,33,40,40,7,120,2,1,1,1
15854,15854,17162,235,3,25,31,33,4,101,6,2,1,1.142857143
15855,15855,17163,121,1,29,50,50,21,150,2,1,1,1
15856,15856,17164,111,5,32,52,50,18,152,2,1,1,1
15857,15857,17165,91,1,29,36,37,6,111,4,1,1,1
15858,15858,17166,136,3,25,43,40,15,123,1,1,1,1
15859,15859,17167,160,4,33,53,50,17,153,2,1,1,1
15871,15871,17179,99,5,1,5,5,3,15,1,1,1,1
15875,15875,17183,120,9,3,5,5,2,15,1,1,1,1
15877,15877,17185,168,7,1,5,5,3,15,1,1,1,1
15883,15883,17191,165,2,9,21,20,11,61,1,1,1,1
15891,15891,17199,74,6,59,103,87,23,279,4,2,1,1.2
15893,15893,17201,148,5,39,73,69,23.5,211,4,1,1,1
15894,15894,17202,33,4,12,34,51,21,137,3,1,1,1
15899,15899,17207,106,7,37,74,69,23.5,214,4,1,1,1
15904,15904,17212,93,3,10,15,10,0,35,1,1,1,1
15905,15905,17213,162,6,65,106,87,18,280,4,2,1,1.2
15907,15907,17215,92,4,33,49,45,12,139,2,1,1,1
15908,15908,17216,107,1,40,62,62,20,186,2,1,1,1
15909,15909,17217,60,1,14,23,22,6,67,1,1,1,1
15911,15911,17219,55,2,29,44,40,11,124,1,1,1,1
15913,15913,17221,97,1,27,51,50,23,151,2,1,1,1
15914,15914,17222,132,3,4,5,5,1,15,1,1,1,1
15915,15915,17223,55,2,16,24,22,4,68,1,1,1,1
15918,15918,17226,17,1,4,12,10,6,32,1,1,1,1
15920,15920,17228,27,4,6,12,12,6,36,2,1,1,1
15921,15921,17229,104,7,6,12,12,6,36,2,1,1,1
15930,15930,17238,16,7,66,71,70,4,211,3,1,1,1
15937,15937,17245,196,5,15,22,22,5,66,1,1,1,1
15951,15951,17259,60,3,4,6,6,1,18,2,1,1,1
15952,15952,17260,140,1,4,5,5,1,15,1,1,1,1
15955,15955,17263,97,1,2,7,6,3,19,2,1,1,1
15957,15957,17265,171,9,12,23,22,8,67,1,1,1,1
15965,15965,17273,115,11,7,10,10,3,30,1,1,1,1
16020,16020,17328,32,3,20,24,24,4,72,1,2,1,1.416666668
16021,16021,17329,89,3,26,30,30,4,90,2,2,1,1.333333333
16026,16026,17334,57,2,11,20,20,8,60,1,1,1,1
16027,16027,17335,76,1,14,20,20,4,61,1,1,1,1
16029,16029,17337,35,1,11,20,20,7,60,1,1,1,1
16030,16030,17338,78,2,14,24,20,5,65,1,1,1,1
16031,16031,17339,69,1,18,21,21,1,63,1,1,1,1
16032,16032,17340,85,2,11,20,20,7,60,1,1,1,1
16033,16033,17341,79,1,11,21,20,7,61,1,1,1,1
16035,16035,17343,83,2,15,23,20,4,64,1,1,1,1
16036,16036,17344,302,2,14,21,20,4,61,1,1,1,1
16037,16037,17345,60,2,16,23,20,3,64,1,1,1,1
16039,16039,17347,72,2,16,21,20,3,61,1,1,1,1
16043,16043,17352,37,2,33,40,40,7,120,1,1,1,1
16045,16045,17354,75,7,84,97,97,11,291,6,2,1,1.142857143
16053,16053,17362,72,8,0,8,8,0,24,2,1,1,1
16062,16062,17371,96,6,0,3,3,0,9,1,1,1,1
16063,16063,17372,150,4,0,4,3,0,10,1,1,1,1
16064,16064,17373,42,2,0,3,3,0,9,1,1,1,1
16065,16065,17374,73,5,0,3,6,0,12,2,1,1,1
16066,16066,17375,77,3,0,2,3,0,8,1,1,1,1
16067,16067,17376,84,3,0,5,3,0,11,1,1,1,1
16068,16068,17377,69,4,0,3,3,0,9,1,1,1,1
16069,16069,17378,35,3,0,3,3,0,9,1,1,1,1
16070,16070,17379,131,3,0,9,3,0,15,1,1,1,1
16071,16071,17381,83,2,0,8,3,0,14,1,1,1,1
16072,16072,17382,123,3,0,5,3,0,11,1,1,1,1
16073,16073,17383,133,3,0,4,3,0,10,1,1,1,1
16074,16074,17384,116,3,0,8,3,0,14,1,1,1,1
16075,16075,17385,73,3,0,5,3,0,11,1,1,1,1
16076,16076,17386,61,3,0,6,3,0,12,1,1,1,1
16077,16077,17387,95,3,0,9,3,0,15,1,1,1,1
16078,16078,17388,87,3,0,25,6,0,34,1,2,1,1.416666668
16083,16083,17393,398,6,87,123,119,22,351,6,2,1,1.142857143
16089,16089,17399,81,3,110.5,133,134.5,15,399.5,1,2,1,1.416666668
16104,16104,17414,108,9,54,72,95,11,232,2,2,1,1.333333333
16105,16105,17415,161,5,110.5,133,134.5,15,399.5,3,1,1,1
16116,16116,17426,204,2,34,65,60,23.5,185,2,1,1,1
16117,16117,17427,207,1,110.5,133,134.5,18,399.5,6,1,1,1
16118,16118,17428,276,5,76,92,92,14,276,3,1,1,1
16124,16124,17434,233,3,33,66,63,22,193,3,1,1,1
16125,16125,17435,296,5,50,78,75,20,228,2,1,1,1
16129,16129,17439,303,9,91,122,120,23.5,362,6,1,1,1
16131,16131,17441,367,5,52,65,65,8,195,2,1,1,1
16132,16132,17442,390,8,30,35,35,0,105,1,1,1,1
16134,16134,17444,430,6,30,37,35,0,107,1,1,1,1
16136,16136,17446,220,3,107,133,134.5,22,399.5,5,2,1,1.285714286
16137,16137,17447,149,8,46,67,65,14,197,2,1,1,1
16138,16138,17448,361,2,21,42,35,9,112,1,1,1,1
16140,16140,17450,332,4,66,95,93,19,281,4,1,1,1
16143,16143,17453,177,6,29,34,35,0,104,1,1,1,1
16144,16144,17454,227,1,16,20,20,4,60,1,1,1,1
16145,16145,17455,173,2,27,36,35,3,106,1,1,1,1
16146,16146,17456,143,7,71,109,103,23.5,317,4,1,1,1
16147,16147,17457,239,5,57,75,70,3,215,1,2,1,1.416666668
16148,16148,17458,201,3,29,47,35,1,117,1,1,1,1
16149,16149,17459,271,5,74,105,100,16,305,2,2,1,1.333333333
16150,16150,17460,141,3,57,81,70,3,221,1,2,1,1.416666668
16152,16152,17462,228,1,56,70,70,4,210,1,2,1,1.416666668
16155,16155,17465,287,5,27,30,30,3,90,1,1,1,1
16158,16158,17468,247,2,28,53,50,22,153,2,1,1,1
16159,16159,17469,292,6,29,54,60,23.5,174,2,1,1,1
16160,16160,17470,274,3,110.5,133,134.5,22,399.5,6,1,1,1
16164,16164,17474,159,8,0,2,2,0,6,1,1,1,1
16165,16165,17475,300,3,48,67,62,12,191,2,1,1,1
16166,16166,17476,419,7,84,106,100,12,306,4,1,1,1
16167,16167,17477,293,4,92,117,115,23,347,3,1,1,1
16169,16169,17479,227,3,68,99,90,22,279,2,1,1,1
16172,16172,17482,174,3,32,42,42,8,126,2,1,1,1
16173,16173,17483,160,2,19,20,20,1,60,2,1,1,1
16174,16174,17484,251,6,4,11,20,6,41,2,1,1,1
16178,16178,17488,351,6,73,101,100,23,301,2,2,1,1.333333333
16179,16179,17489,217,10,70,104,100,23.5,304,2,1,1,1
16181,16181,17491,289,2,73,87,85,12,257,3,1,1,1
16182,16182,17492,132,5,67,74,90,6,254,2,1,1,1
16183,16183,17493,153,5,31,40,40,9,120,1,1,1,1
16184,16184,17494,180,7,110.5,133,134.5,23.5,399.5,5,1,1,1
16188,16188,17498,298,4,37,80,74,9,228,4,3,1,1.416666668
16191,16191,17501,128,16,0,2,2,0,6,2,1,1,1
16195,16195,17505,114,2,74,81,80,6,241,1,2,1,1.416666668
16198,16198,17508,110,5,64,82,80,16,242,3,1,1,1
16202,16202,17512,167,3,104,133,134.5,19,399.5,4,2,1,1.333333333
16207,16207,17517,152,14,12,18,16,4,50,1,1,1,1
16209,16209,17519,45,3,0,2,2,0,6,1,1,1,1
16211,16211,17521,65,6,18,21,40,2,81,1,2,1,1.416666668
16212,16212,17522,89,5,74,90,88,13,266,4,3,1,1.416666668
16215,16215,17525,184,7,52,65,78,13,208,7,1,1,1
16216,16216,17526,338,8,40,43,40,0,123,1,1,1,1
16217,16217,17527,430,9,56,117,110,4,287,5,1,1,1
16218,16218,17528,269,10,23,66,58,7,182,4,1,1,1
16219,16219,17529,282,3,18,68,70,11,168,2,1,1,1
16220,16220,17530,75,13,0,1,1,0,3,1,1,1,1
16225,16225,17535,353,5,66,97,96,23.5,288,8.5,3,1,1.416666668
16231,16231,17541,134,8,69,74,70,1,214,3,1,1,1
16238,16238,17548,51,1,43,55,56,11,166,6,2,1,1.142857143
16239,16239,17549,110,5,40,78,80,13,238,5,1,1,1
16241,16241,17551,171,3,0,3,6,0,12,1,2,1,1.416666668
16242,16242,17552,125,6,47,65,72,12,204,5,1,1,1
16244,16244,17554,201,6,20,26,20,0,66,1,1,1,1
16248,16248,17558,21,5,0,18,10,0,38,1,1,1,1
16250,16250,17560,386,16,70,87,86,16,259,4,1,1,1
16253,16253,17563,91,3,3,3,6,0,12,1,2,1,1.416666668
16254,16254,17564,36,3,8,12,10,2,32,1,1,1,1
16258,16258,17568,31,3,11,14,14,3,42,1,1,1,1
16259,16259,17569,200,5,28,45,38,10,121,1,1,1,1
16260,16260,17570,108,6,28,38,38,10,114,1,1,1,1
16261,16261,17571,104,9,31,45,66,11,155,5,2,1,1.166666667
16264,16264,17574,90,6,21,30,30,9,90,1,1,1,1
16269,16269,17579,161,11,13,14,14,1,42,1,1,1,1
16271,16271,17581,128,7,2,5,5,3,15,1,1,1,1
16273,16273,17583,80,6,5,5,5,0,15,1,1,1,1
16274,16274,17584,133,11,16,16,16,0,48,1,2,1,1.416666668
16275,16275,17585,106,8,5,5,5,0,15,1,1,1,1
16276,16276,17586,97,4,5,5,5,0,15,1,1,1,1
16277,16277,17587,51,2,5,5,5,0,15,1,1,1,1
16278,16278,17588,117,16,5,5,5,0,15,1,1,1,1
16279,16279,17589,176,11,3,5,5,2,15,1,1,1,1
16280,16280,17590,60,3,4,5,5,1,15,1,1,1,1
16281,16281,17591,71,2,5,5,5,0,15,1,1,1,1
16282,16282,17592,91,8,3,5,5,2,15,1,1,1,1
16283,16283,17593,191,20.5,5,5,5,0,15,1,1,1,1
16285,16285,17595,98,7,4,5,5,1,15,1,1,1,1
16286,16286,17596,56,1,4,5,5,1,15,1,1,1,1
16287,16287,17597,172,12,4,8,8,4,24,1,1,1,1
16288,16288,17598,68,6,5,5,5,0,15,1,1,1,1
16292,16292,17602,94,12,5,5,5,0,15,1,1,1,1
16293,16293,17603,141,6,5,5,5,0,15,1,1,1,1
16296,16296,17606,79,1,3,5,5,2,15,1,1,1,1
16298,16298,17608,89,5,4,5,5,1,15,1,1,1,1
16301,16301,17611,193,8,34,56,55,20,166,2,1,1,1
16302,16302,17612,89,3,0,7,7,0,21,2,2,1,1.333333333
16303,16303,17613,172,2,0,1,16,0,24,2,2,1,1.416666668
16304,16304,17614,97,3,0,13,7,0,27,2,2,1,1.333333333
16306,16306,17616,65,4,22,39,38,16,115,1,1,1,1
16308,16308,17618,117,8,21,38,38,17,114,1,1,1,1
16314,16314,17624,85,2,5,5,5,0,15,1,1,1,1
16327,16327,17637,172,7,53,74,88,18,236,8.5,2,1,1.1
16336,16336,17646,145,17,76,87,86,10,259,4,1,1,1
16355,16355,17665,55,3,0,91,80,0,251,2,1,1,1
16357,16357,17667,307,8,0,4,4,3,12,2,1,1,1
16358,16358,17668,150,2,48,85,91,23.5,267,3,2,1,1.25
16359,16359,17669,126,20,54,88,80,23.5,248,3,1,1,1
16360,16360,17670,281,17,78,98,98,18,294,3,2,1,1.25
16361,16361,17671,95,12,45,53,51,5,155,3,1,1,1
16362,16362,17672,36,2,33,51,51,17,153,3,1,1,1
16368,16368,17678,44,4,32,52,51,18,154,3,1,1,1
16370,16370,17680,98,10,34,51,50,16,151,2,1,1,1
16385,16385,17695,59,1,24,25,25,1,75,1,1,1,1
16386,16386,17696,84,1,45,50,50,3,150,1,2,1,1.416666668
16387,16387,17697,65,2,29,40,38,9,116,1,1,1,1
16389,16389,17699,39,1,69,72,70,1,212,3,1,1,1
16392,16392,17702,95,10,26,50,50,23.5,150,2,1,1,1
16395,16395,17705,47,2,30,46,50,15,146,2,1,1,1
16412,16412,17722,92,1,37,54,50,13,154,2,1,1,1
16421,16421,17731,109,16,32,61,60,23.5,181,3,1,1,1
16422,16422,17732,67,16,4,10,10,6,30,1,1,1,1
16423,16423,17733,236,11,7,10,10,3,30,1,1,1,1
16424,16424,17734,37,14,25,49,50,23,149,2,1,1,1
16425,16425,17735,54,15,6,10,10,4,30,1,1,1,1
16426,16426,17736,48,13,6,11,10,4,31,1,1,1,1
16427,16427,17737,44,19,10,10,10,0,30,1,1,1,1
16429,16429,17739,85,18,36,61,60,23.5,181,3,1,1,1
16434,16434,17744,49,4,1,5,7,1,17,2,1,1,1
16440,16440,17750,307,8,0,6,6,0,18,1,1,1,1
16441,16441,17751,236,5,6,10,10,4,30,1,1,1,1
16449,16449,17759,223,8,56,70,70,14,210,3,1,1,1
16453,16453,17763,320,8,14,22,22,6,66,1,1,1,1
16455,16455,17765,148,4,2,5,5,3,15,1,1,1,1
16470,16470,17780,288,11,34,31,38,2,107,5,1,1,1
16471,16471,17781,246,10,36,28,48,0,114,5,1,1,1
16472,16472,17782,233,6,23,32,33,4,97,6,2,1,1.142857143
16473,16473,17783,198,8,26,35,32,1,99,6,1,1,1
16478,16478,17788,101,5,42,57,51,5,158,3,1,1,1
16492,16492,17802,430,3,46,54,50,2,154,1,2,1,1.416666668
16495,16495,17805,87,1,48,55,50,1,155,1,2,1,1.416666668
16496,16496,17806,52,3,37,43,43,3,128,3,2,1,1.25
16498,16498,17808,29,10,17,36,38,17,112,6,2,1,1.142857143
16503,16503,17813,54,6,23,31,66,7,135,6,2,1,1.142857143
16504,16504,17814,22,6,0,6,4,0,14,1,1,1,1
16505,16505,17815,24,4,0,4,4,0,12,1,1,1,1
16506,16506,17816,37,6,0,3,4,0,11,1,1,1,1
16527,16527,17837,144,2,52,28,58,5,144,5,1,1,1
16529,16529,17839,190,13,100,117,111,9,339,8.5,3,1,1.4
16531,16531,17841,202,6,20,20,20,0,60,1,1,1,1
16532,16532,17842,109,9,57,60,58,0,176,4,1,1,1
16534,16534,17844,110,5,46,60,60,14,180,2,2,1,1.333333333
16538,16538,17848,162,3,41,48,48,6,144,3,2,1,1.4
16540,16540,17850,141,11,50,53,50,0,153,2,1,1,1
16544,16544,17854,268,2,9,15,9,0,33,1,1,1,1
16553,16553,17863,160,4,80,104,104,23.5,312,4,2,1,1.2
16554,16554,17864,74,5,71,99,98,23.5,295,4,2,1,1.2
16557,16557,17867,365,5,6,6,6,0,18,1,1,1,1
16559,16559,17869,328,6,8,12,12,4,36,1,2,1,1.416666668
16560,16560,17870,110,6,8,12,12,4,36,1,2,1,1.416666668
16563,16563,17873,82,5,18,41,49,18,131,3,1,1,1
16564,16564,17875,248,6,19,61,58,11,177,4,1,1,1
16567,16567,17878,422,9,0,2,1,1,4,1,1,1,1
16568,16568,17879,203,14,7,24,20,12,63,4,1,1,1
16573,16573,17884,91,2,93,116,116,22,347,8,1,1,1
16577,16577,17888,430,19,6,18,20,11,60,3,1,1,1
16578,16578,17889,157,13,30,40,40,10,120,1,1,1,1
16620,16620,17931,79,5,21,32,30,6,92,1,2,1,1.416666668
16623,16623,17934,228,5,21,31,30,6,91,1,2,1,1.416666668
16624,16624,17935,113,7,23,32,30,4,92,1,2,1,1.416666668
16625,16625,17936,50,4,3,3,3,0,9,1,1,1,1
16627,16627,17938,156,4,3,3,3,0,9,1,1,1,1
16629,16629,17940,99,4,3,3,3,0,9,1,1,1,1
16637,16637,17948,231,7,25,33,30,3,93,1,2,1,1.416666668
16638,16638,17949,68,5,25,31,30,2,91,1,2,1,1.416666668
16641,16641,17952,48,2,20,34,30,7,94,1,2,1,1.416666668
16649,16649,17960,34,4,17,22,21,3,64,1,1,1,1
16650,16650,17961,96,5,18,21,21,3,63,1,1,1,1
16651,16651,17962,35,5,18,22,21,2,65,1,1,1,1
16652,16652,17963,60,4,15,23,21,4,65,1,1,1,1
16653,16653,17964,160,4,0,11,5,0,21,1,1,1,1
16659,16659,17970,163,1,40,40,40,0,120,2,1,1,1
16660,16660,17971,127,6,60,71,83,10,225,7,2,1,1.125
16661,16661,17972,66,1,20,20,20,0,60,1,1,1,1
16662,16662,17973,109,1,40,40,40,0,120,2,1,1,1
16665,16665,17976,138,11,65,83,89,11,249,8.5,2,1,1.25
16672,16672,17983,235,7,0,8,6,0,20,4,1,1,1
16673,16673,17984,232,9,0,6,6,0,18,4,1,1,1
16674,16674,17985,214,11,0,7,6,0,18,4,1,1,1
16681,16681,17993,100,1,9,28,35,4,98,3,1,1,1
16682,16682,17994,89,1,9,25,35,6,95,3,1,1,1
16684,16684,17996,77,1,12,38,35,2,108,3,1,1,1
16686,16686,17998,69,1,8,34,42,6,111,3,1,1,1
16693,16693,18005,82,2,9,25,35,6,95,3,1,1,1
16696,16696,18008,130,12,0,3,5,0,12,4,1,1,1
16697,16697,18009,131,7,0,3,5,0,12,4,1,1,1
16698,16698,18010,95,5,0,2,2,0,6,2,1,1,1
16699,16699,18011,111,17,0,3,5,0,12,4,1,1,1
16700,16700,18012,158,14,0,5,5,0,14,4,1,1,1
16701,16701,18013,56,6,20,21,21,0,63,2,1,1,1
16702,16702,18014,101,7,20,21,21,0,63,2,1,1,1
16703,16703,18015,77,5,25,41,42,12,124,3,2,1,1.25
16704,16704,18016,97,6,20,21,21,0,63,2,1,1,1
16705,16705,18017,110,7,38,41,41,1,123,2,2,1,1.333333333
16707,16707,18019,113,10,3,17,17,1,51,1,1,1,1
16710,16710,18022,138,5,61,105,99,23.5,303,5,1,1,1
16712,16712,18024,267,5,13,34,38,12,110,8,1,1,1
16713,16713,18025,169,5,0,36,29,5,93,8.5,1,1,1
16717,16717,18029,244,12,7,8,8,0,24,2,1,1,1
16718,16718,18030,375,12,104,133,134.5,18,399.5,8,2,1,1.111111111
16719,16719,18031,195,13,50,76,81,23,237,4,1,1,1
16721,16721,18033,270,3,26,50,53,18,155,4,1,1,1
16722,16722,18034,283,9,33,43,40,6,123,2,1,1,1
16724,16724,18036,87,8,17,24,21,4,66,2,1,1,1
16728,16728,18040,149,9,20,20,20,0,60,1,1,1,1
16729,16729,18041,252,13,7,18,19,11,56,3,1,1,1
16730,16730,18042,208,17,36,49,49,11,147,4,1,1,1
16736,16736,18048,216,3,71,98,100,21,298,4,1,1,1
16737,16737,18049,61,1,3,11,11,7,33,1,1,1,1
16753,16753,18065,80,6,0,3,17,0,29,3,2,1,1.25
16754,16754,18066,248,13,19,24,24,5,72,2,1,1,1
16755,16755,18067,296,13,17,25,24,7,73,2,1,1,1
16759,16759,18071,167,16,44,60,60,15,180,1,1,1,1
16760,16760,18072,178,3,67,101,123,23.5,325,8.5,2,1,1.090909091
16763,16763,18075,112,8,44,70,70,15,208,5,2,1,1.166666667
16765,16765,18077,220,10,6,12,10,4,32,1,1,1,1
16766,16766,18078,184,13,7,8,8,0,24,2,1,1,1
16767,16767,18079,208,11,47,59,58,9,175,4,1,1,1
16772,16772,18084,153,4,110.5,133,134.5,23.5,399.5,8.5,1,1,1
16773,16773,18085,210,17,93,102,100,6,302,2,2,1,1.333333333
16774,16774,18086,141,8,23,39,39,8,117,7,1,1,1
16775,16775,18087,106,7,24,31,30,6,91,1,1,1,1
16776,16776,18088,194,16,110.5,133,134.5,7,399.5,2,2,1,1.333333333
16777,16777,18089,144,17,39,60,60,21,180,1,1,1,1
16778,16778,18090,166,8,0,10,8,0,25,4,1,1,1
16779,16779,18091,343,9,98,127,127,23.5,381,8.5,1,1,1
16783,16783,18095,168,12,54,67,67,5,201,5,1,1,1
16784,16784,18096,222,20.5,40,60,60,20,180,1,1,1,1
16789,16789,18101,100,14,0,4,5,0,13,4,1,1,1
16793,16793,18105,97,12,3,6,13,1,23,2,2,1,1.333333333
16794,16794,18106,237,20.5,66,77,77,9,231,4,2,1,1.333333333
16798,16798,18112,147,10,0,4,5,0,13,4,1,1,1
16799,16799,18113,209,5,110.5,133,134.5,14,399.5,4,1,1,1
16801,16801,18115,98,9,91,112,112,6,336,8.5,1,1,1
16803,16803,18117,182,11,23,30,30,7,90,1,1,1,1
16805,16805,18119,242,16,23,31,30,7,91,1,1,1,1
16806,16806,18120,231,7,44,60,60,14,180,3,1,1,1
16809,16809,18123,134,11,38,41,40,2,121,1,1,1,1
16810,16810,18124,268,20,74,80,80,6,240,4,1,1,1
16812,16812,18131,430,8,23,32,30,7,92,1,1,1,1
16816,16816,18135,283,2,59,83,120,16,283,4,1,1,1
16820,16820,18139,137,6,34,60,57,16,174,5,1,1,1
16822,16822,18141,64,1,35,50,50,15,150,2,1,1,1
16827,16827,18146,88,3,25,53,50,23.5,153,2,1,1,1
16831,16831,18150,75,12,25,27,30,0,86,7,1,1,1
16832,16832,18151,67,7,0,2,4,0,9,3,1,1,1
16835,16835,18154,54,1,22,38,38,16,114,1,1,1,1
16836,16836,18155,77,8,0,1,1,0,3,1,1,1,1
16841,16841,18160,90,18,35,40,40,5,120,1,1,1,1
16842,16842,18161,140,20.5,6,8,8,1,24,3,2,1,1.25
16850,16850,18169,236,7,63,90,89,23.5,268,8.5,1,1,1
16851,16851,18170,222,9,15,37,34,16,105,2,2,1,1.333333333
16852,16852,18171,145,13,27,30,30,3,90,2,1,1,1
16869,16869,18191,167,4,34,39,39,5,117,3,2,1,1.25
16873,16873,18199,62,7,0,2,2,0,6,2,1,1,1
16880,16880,18208,298,3,29,37,35,1,107,1,1,1,1
16891,16891,18222,109,8,25,39,41,14,120,3,1,1,1
